city,pm25_2014,pm25_2024,absolute_change,change_pct,improvement
张家口,47.77,20.48,-27.290000000000003,-57.127904542599964,True
衡水,93.45,40.97,-52.480000000000004,-56.15837346174425,True
廊坊,84.41,38.03,-46.379999999999995,-54.94609643407179,True
沧州,86.76,41.2,-45.56,-52.5126786537575,True
天津,78.48,38.18,-40.300000000000004,-51.350662589194705,True
唐山,67.64,36.9,-30.740000000000002,-45.44648137196925,True
北京,56.59,30.98,-25.610000000000003,-45.25534546739707,True
邢台,81.58,44.72,-36.86,-45.182642804608975,True
石家庄,77.09,45.56,-31.53,-40.90024646517058,True
保定,72.67,44.04,-28.630000000000003,-39.39727535434155,True
邯郸,76.01,46.23,-29.78000000000001,-39.17905538744903,True
秦皇岛,49.13,30.87,-18.26,-37.166700590270715,True
承德,33.46,23.21,-10.25,-30.633592349073517,True
