year,alpha0,beta1,beta2,beta3,r_squared,n_cities,t_alpha0,t_beta1,t_beta2,t_beta3,p_alpha0,p_beta1,p_beta2,p_beta3
2014,82.09865429636896,0.22554402758562922,-0.053489461725740026,-0.0006468339450542426,0.8847993280503219,13,17.549274315558765,4.57461876360812,-2.794194118967247,-4.717194790178147,2.8665065432420533e-08,0.0013380477443960537,0.020910044818492013,0.0010933925103300268
2015,102.09187246065285,0.07764339244699651,-0.09527877440307286,-0.0002544491572933072,0.5938958869146284,13,8.906367392542581,0.6427090139611729,-2.0312848131667995,-0.7573181002551409,9.299913632965229e-06,0.5364406608340635,0.07278318112091453,0.46822223929989404
2016,93.05745337918677,0.0678650207076669,-0.08684340776269406,-0.00022646033805993893,0.6558700658283552,13,10.15293908459568,0.7025658800543617,-2.3154888645688465,-0.8429477417471576,3.15311714071953e-06,0.5000928539287939,0.0458229577580711,0.4210945212674302
2017,89.12775845450415,0.03953895582503008,-0.09426797898583551,-0.00014153903195381762,0.806031119998305,13,14.317227532604145,0.6026589216085433,-3.700627413716968,-0.7756933115730349,1.689566244689189e-07,0.5616114646338706,0.004915783896874304,0.4578275840233865
2018,73.13337121547262,0.03135363705446926,-0.07072700057000197,-0.00010782288961670369,0.7859069594065027,13,14.815168601031646,0.6026697356211452,-3.5013979095664656,-0.745194866518861,1.256303612251486e-07,0.5616045784642525,0.006708748572350709,0.47516361359433623
2019,68.93850085321935,0.03251197177527977,-0.08318310987342942,-5.100795676052372e-05,0.806727219590599,13,15.333766294469633,0.6861684819984316,-4.521550443950134,-0.38707294359566263,9.317012050757967e-08,0.509895721591942,0.0014435798024616808,0.7076959917222554
2020,54.25664104577591,0.09691357443735044,-0.05358811047263624,-0.0002473742237944776,0.8327812625539524,13,15.409081086537567,2.6116134716743487,-3.719268257087886,-2.3968792984380625,8.928216543857559e-08,0.028196051743612394,0.004776024610120055,0.04010254810918856
2021,49.50769994693557,0.07267641531894745,-0.04547637580744094,-0.00017697403107309884,0.7987481260220652,13,15.810866266436923,2.20230195710186,-3.5492286991507163,-1.9282366867707221,7.135341961728159e-08,0.05513320768478924,0.006223410150225428,0.08591501538569002
2022,53.446188389476234,-0.002011640538564688,-0.06512954686015263,2.278945154311979e-05,0.8792192201750147,13,20.4343595854462,-0.07297853210882364,-6.085378174389855,0.2972665547943649,7.51154494160744e-09,0.9434193633496601,0.00018245548663631261,0.7730099980578591
2023,51.68285035790102,0.04634391883079558,-0.052604581156230665,-9.394951767904836e-05,0.834768915595072,13,19.00263326051054,1.6168157671523948,-4.726679106770968,-1.178500489848468,1.4249540436495067e-08,0.14037313399054252,0.0010789170837834927,0.26881573639892853
2024,48.57433310654853,0.03528660575074295,-0.04939835262463393,-7.97578517275424e-05,0.8322854079638186,13,18.2662038902057,1.259075551528499,-4.539616260200882,-1.0232524311242859,2.017151778943571e-08,0.23967784028014716,0.0014066863842214783,0.332904385672266
