year,avg_pm25,decline_rate,decline_rate_pct
2014,69.61846153846153,,
2015,75.97923076923077,-6.360769230769236,-9.136612746397958
2016,69.08384615384615,6.895384615384614,9.075354600953702
2017,63.21692307692308,5.866923076923072,8.492467347370525
2018,53.87615384615385,9.340769230769233,14.77574164658928
2019,49.642307692307696,4.233846153846152,7.858478847499247
2020,42.51692307692308,7.125384615384618,14.353451615402498
2021,39.77538461538462,2.741538461538461,6.448111159357358
2022,37.29538461538462,2.479999999999997,6.235011990407665
2023,40.308461538461536,-3.013076923076916,-8.078953881692911
2024,37.02846153846154,3.279999999999994,8.13724928913569
